,HTML,TAG,TC,LTC,TG,P,CTTD,CTTDs
0,"<!DOCTYPE html>
",[],0,0,0,0,0.0,0.0
1,,[],0,0,0,0,0.0,0.0
2,"<html dir=""ltr"" lang=""en-US"" xmlns=""https://www.w3.org/1999/xhtml"" xmlns:fb=""https://www.facebook.com/2008/fbml""></html>",['html'],0,0,1,0,0.0,0.0
3,<head></head>,['head'],0,0,1,0,0.0,0.0
4,,[],0,0,0,0,0.0,0.0
5,,[],0,0,0,0,0.0,0.0
6,,[],0,0,0,0,0.0,0.0
7,,[],0,0,0,0,0.0,0.0
8,,[],0,0,0,0,0.0,0.0
9,,[],0,0,0,0,0.0,0.0
10,,[],0,0,0,0,0.0,0.0
11,,[],0,0,1,0,0.0,0.0
12,<body></body>,['body'],0,0,1,0,0.0,0.0
13,"<div id=""fb-root""></div>",['div'],0,0,2,0,0.0,0.0
14,,[],0,0,0,0,0.0,0.0
15,,[],0,0,0,0,0.0,0.0
16,"<div class=""full-body""></div>",['div'],0,0,1,0,0.0,0.0
17,"<div class=""pages""></div>",['div'],0,0,1,0,0.0,0.0
18,"<div class=""top-nav""></div>",['div'],0,0,1,0,0.0,0.45
19,"<ul class=""lang""></ul>",['ul'],0,0,1,0,0.0,1.35
20,"<li><a class=""fade"" href=""https://www.tempo.co"">Indonesia</a></li>","['li', 'a']",0,1,4,0,4.5,2.7
21,"<li><a class=""fade"" href=""https://en.tempo.co"">English</a></li>","['li', 'a']",0,1,4,0,4.5,2.7
22,,[],0,0,1,0,0.0,1.35
23,"<div class=""top-space-login"" id=""login-top""></div>",['div'],0,0,1,0,0.0,0.45
24,,[],0,0,0,0,0.0,0.0
25,,[],0,0,1,0,0.0,0.0
26,"<div class=""block-search""></div>",['div'],0,0,1,0,0.0,0.0
27,"<form action=""https://search.tempo.co/index.php/search/result"" method=""GET""></form>",['form'],0,0,1,0,0.0,0.0
28,"<input class=""search-button"" name=""submit"" type=""submit"" value=""""/>",['input'],0,0,1,0,0.0,0.0
29,"<input name=""type"" type=""hidden"" value=""semua""/>",['input'],0,0,1,0,0.0,0.0
30,"<input name=""fld"" type=""hidden"" value=""news""/>",['input'],0,0,1,0,0.0,0.0
31,"<input class=""search-bar"" name=""vSearch"" placeholder=""search..."" required="""" type=""text""/>",['input'],0,0,1,0,0.0,0.0
32,,[],0,0,5,0,0.0,0.0
33,,[],0,0,1,0,0.0,0.0
34,"<div class=""top-medsos""></div>",['div'],0,0,1,0,0.0,0.0
35,"<div class=""top-twitter""><a class=""fade"" href=""https://twitter.com/tempodotco"" title=""twitter""> </a></div>","['div', 'a']",0,0,4,0,0.0,0.0
36,"<div class=""top-facebook""><a class=""fade"" href=""https://www.facebook.com/TempoMedia"" title=""facebook""> </a></div>","['div', 'a']",0,0,4,0,0.0,0.0
37,"<div class=""top-google""><a class=""fade"" href=""https://plus.google.com/109335234362909335582/posts"" title=""google+""> </a></div>","['div', 'a']",0,0,4,0,0.0,0.0
38,"<div class=""top-rss""><a class=""fade"" href=""https://rss.tempo.co/index.php/teco/news/feed"" title=""RSS""> </a></div>","['div', 'a']",0,0,4,0,0.0,0.0
39,,[],0,0,1,0,0.0,0.0
40,,[],0,0,1,0,0.0,0.0
41,"<header class=""m15-b m15-t""></header>",['header'],0,0,1,0,0.0,0.0
42,"<div class=""logo-tempo kanal-head""></div>",['div'],0,0,1,0,0.0,0.45
43,"<h2 class=""logo-kanal""><a href=""https://www.tempo.co"" title=""tempo.co""></a></h2>","['h2', 'a']",0,0,4,0,0.0,0.9
44,"<h1><a href=""https://tekno.tempo.co"" title=""tekno"">tekno</a></h1>","['h1', 'a']",0,1,4,0,4.5,1.8
45,,[],0,0,1,0,0.0,0.9
46,"<div class=""block-toplink m5-b""></div>",['div'],0,0,2,0,0.0,1.05
47,"<ul class=""top-link""></ul>",['ul'],0,0,1,0,0.0,1.7
