,HTML,TAG,Words,TC,LTC,TG,P,CTTD,CTTDs
0,"<!DOCTYPE html>
",[],,0,0,0,0,0.0,0.7
1,"<html itemscope=""itemscope"" itemtype=""http://schema.org/WebPage"" lang=""en""><head></head></html>","['html', 'head']",,0,0,2,0,0.0,1.4
2,<title>Drama Italia vs Makedonia Dibintangi Immobile : Okezone Bola</title>,['title'],Drama Italia vs Makedonia Dibintangi Immobile : Okezone Bola,9,0,2,0,7.0,2.8
3,,[],,0,0,1,0,0.0,1.4
4,"<body onload=""loaded()""></body>",['body'],,0,0,1,0,0.0,0.7
5,<div></div>,['div'],,0,0,1,0,0.0,0.0
6,,[],,0,0,1,0,0.0,0.0
7,<div></div>,['div'],,0,0,1,0,0.0,0.0
8,<nav></nav>,['nav'],,0,0,1,0,0.0,0.0
9,<div></div>,['div'],,0,0,1,0,0.0,0.0
10,<div></div>,['div'],,0,0,1,0,0.0,0.0
11,"<button aria-controls=""navbar"" aria-expanded=""false"" data-target=""#navbar"" data-toggle=""collapse"" type=""button""></button>",['button'],,0,0,1,0,0.0,0.0
12,<span>Toggle navigation</span>,['span'],Toggle navigation,2,0,2,0,0.0,0.0
13,,[],,0,0,1,0,0.0,0.0
14,,[],,0,0,1,0,0.0,0.0
15,<div></div>,['div'],,0,0,1,0,0.0,0.0
16,<ul></ul>,['ul'],,0,0,1,0,0.0,0.0
17,"<li><a href=""http://news.okezone.com/"">Home</a></li>","['li', 'a']",Home,0,1,4,0,0.0,0.0
18,"<li><a href=""http://news.okezone.com/nasional"">Nasional</a></li>","['li', 'a']",Nasional,0,1,4,0,0.0,0.0
19,"<li><a href=""http://news.okezone.com/megapolitan"">Megapolitan</a></li>","['li', 'a']",Megapolitan,0,1,4,0,0.0,0.0
20,"<li><a href=""http://news.okezone.com/international"">International</a></li>","['li', 'a']",International,0,1,4,0,0.0,0.0
21,"<li><a href=""http://news.okezone.com/nusantara"">Nusantara</a></li>","['li', 'a']",Nusantara,0,1,4,0,0.0,0.0
22,"<li><a href=""http://news.okezone.com/kampus"">Kampus</a></li>","['li', 'a']",Kampus,0,1,4,0,0.0,0.0
